percentage,age,gender,adlib_id
9.97e-4,18-24,unknown,432045974433665
7.28e-4,55-64,unknown,734502360517440
0.111677,35-44,male,734502360517440
0.001819,45-54,unknown,734502360517440
0.001455,65+,unknown,734502360517440
0.198254,55-64,male,734502360517440
0.117497,65+,male,734502360517440
0.201164,45-54,male,734502360517440
0.054929,25-34,male,734502360517440
0.093852,18-24,male,734502360517440
3.64e-4,18-24,unknown,734502360517440
0.022917,45-54,female,734502360517440
0.095671,18-24,female,734502360517440
0.028738,25-34,female,734502360517440
0.011641,35-44,female,734502360517440
0.031284,55-64,female,734502360517440
0.026919,65+,female,734502360517440
0.001091,35-44,unknown,734502360517440
0.010456,13-17,male,296621688623100
0.0337,25-34,female,296621688623100
0.005128,13-17,female,296621688623100
0.609957,18-24,male,296621688623100
0.11685,25-34,male,296621688623100
0.217949,18-24,female,296621688623100
0.005128,18-24,unknown,296621688623100
1.67e-4,13-17,unknown,296621688623100
6.66e-4,25-34,unknown,296621688623100
0.001044,45-54,unknown,2334085183390230
0.04071,45-54,female,2334085183390230
0.009395,25-34,female,2334085183390230
0.011482,18-24,male,2334085183390230
0.087683,55-64,female,2334085183390230
0.259916,55-64,male,2334085183390230
0.141962,65+,male,2334085183390230
0.220251,45-54,male,2334085183390230
0.114823,35-44,male,2334085183390230
0.041754,25-34,male,2334085183390230
0.048017,65+,female,2334085183390230
0.018789,35-44,female,2334085183390230
0.004175,18-24,female,2334085183390230
4.34e-4,65+,unknown,938831683624754
4.34e-4,55-64,unknown,938831683624754
0.028658,35-44,female,938831683624754
0.010855,25-34,female,938831683624754
0.108554,35-44,male,938831683624754
0.048198,25-34,male,938831683624754
0.194529,55-64,male,938831683624754
0.231437,45-54,male,938831683624754
0.061224,45-54,female,938831683624754
0.100738,65+,male,938831683624754
0.029092,18-24,male,938831683624754
0.068172,65+,female,938831683624754
0.11333,55-64,female,938831683624754
0.003908,18-24,female,938831683624754
4.34e-4,35-44,unknown,938831683624754
5.37e-4,65+,unknown,309964473898361
0.022186,25-34,male,309964473898361
5.37e-4,25-34,unknown,309964473898361
0.008588,35-44,female,309964473898361
5.37e-4,55-64,unknown,309964473898361
0.031133,45-54,female,309964473898361
0.151369,65+,male,309964473898361
0.005904,25-34,female,309964473898361
0.246556,45-54,male,309964473898361
0.001074,45-54,unknown,309964473898361
0.068706,55-64,female,309964473898361
0.09143,35-44,male,309964473898361
0.288424,55-64,male,309964473898361
0.017177,18-24,male,309964473898361
0.004473,18-24,female,309964473898361
0.061013,65+,female,309964473898361
3.58e-4,18-24,unknown,309964473898361
1.91e-4,18-24,unknown,297220778790844
0.239756,45-54,male,297220778790844
7.62e-4,55-64,unknown,297220778790844
0.232133,55-64,male,297220778790844
0.070898,25-34,male,297220778790844
